Model,Line Sort,Last Status,Line Type,Chassis Check In Status,Chassis Model,VIN,Final Destination,Capacity,Exit Factory Date,Current Exit Factory,Chassis Check In Date,Original SO,File Source,Model First 5 Chars,Related Order Number,Exit Factory Date Year & Week,Exit Factory Year,Exit Factory Week,Rear Loader 2512,Rear Loader (PKRRLSB),Manual Side Loader (PKRML),DC REFUSE STOCK
PKRRLSB4060CTCPQ,2,530,LFL,Checked-In,Rear Loader,1FVHC5FT5SHWD3302,CITY OF LONDON,2566,2026-04-10,2026-04-10,2025-01-10,5169200,F4211,PKRRL,03276658,2026 - 15,2026,15,0,1,0,0
PKRRLSB4060CTCPQ,2,530,LFL,Checked-In,Rear Loader,1FVHC5FT7SHWD3303,CITY OF LONDON,2566,2026-04-17,2026-04-17,2025-01-09,5169200,F4211,PKRRL,03276663,2026 - 16,2026,16,0,1,0,0
PKRRLXXCCTCPQ,2,530,LFL,Checked-In,Rear Loader,1CYABDAJ1V1005348,INTERSTATE WASTE SERVICES INC,2817,2026-04-03,2026-04-03,2026-02-09,5213006,F4211,PKRRL,03308627,2026 - 14,2026,14,0,0,0,0
PKRRLXXCCTCPQ,2,530,LFL,Checked-In,Rear Loader,1CYABDAJ3V1005349,INTERSTATE WASTE SERVICES INC,2817,2026-04-10,2026-04-10,2026-02-09,5213006,F4211,PKRRL,03308632,2026 - 15,2026,15,0,0,0,0
PKRRLSB4060CTCPQ,2,530,LFL,Checked-In,Rear Loader,1M2TE2GC2TM014680,FIREMATIC HEAVY DUTY,2566,2026-04-03,2026-04-03,2025-11-04,5224896,F4211,PKRRL,03317090,2026 - 14,2026,14,0,1,0,0
PKRRLSB4060CTCPQ,2,530,LFL,Checked-In,Rear Loader,1M2TE2GC4TM014681,FIREMATIC HEAVY DUTY,2566,2026-04-03,2026-04-03,2025-10-30,5224896,F4211,PKRRL,03317095,2026 - 14,2026,14,0,1,0,0
PKRRL3.5HDCTCPQ,3,520,,Checked-In,Rear Loader,1M2TE2GC8VM015173,SBC WASTE SOLUTIONS INC,null,2026-04-17,2026-04-17,2026-03-03,5258207,F4211,PKRRL,03339155,2026 - 16,2026,16,0,0,0,0
PKRRLHDCTCPQ,1,520,HFL,0,Rear Loader,015171,SBC WASTE SOLUTIONS INC,2511,2026-04-17,2026-04-17,null,5258223,F4211,PKRRL,03339175,2026 - 16,2026,16,0,0,0,0
PKREVALZR,1,530,HFL,Checked-In,PKREVALZR,MCNEILUS TBD,DC REFUSE STOCK,2750,2026-04-10,2026-04-10,2026-03-03,5260009,F4211,PKREV,03340585,2026 - 15,2026,15,0,0,0,1
PKRFLATLCTCPQ,3,525,,Checked-In,Front Loader,1M2TE2GCXTM015172,SBC WASTE SOLUTIONS INC,4029,2026-04-17,2026-04-17,2026-03-03,5261183,F4211,PKRFL,03341489,2026 - 16,2026,16,0,0,0,0
